SEX,DBH,FLOWERS
2,174,234
1,171,110
2,212,512
1,187,133
2,227,1107
1,274,624
2,86,8
2,161,333
1,285,637
1,182,225
2,225,512
1,133,47
2,154,164
2,71,1
1,133,36
1,267,524
2,166,198
2,145,225
2,207,548
1,216,272
2,157,164
2,87,5
1,185,133
1,183,133
2,193,419
1,264,442
1,83,3
2,300,1482
1,242,333
2,316,1138
2,217,561
1,235,488
2,189,282
1,242,536
2,84,11
2,135,148
1,267,512
2,122,70
2,280,1107
2,295,941
2,139,89
2,165,181
2,81,8
1,190,173
2,68,1
2,314,1091
1,284,561
2,77,3
1,228,312
2,282,1398