LOCATION,TARSUS,WGHT
1,12.9,11.40
1,19.1,40.24
1,13.2,9.76
1,19.7,40.51
1,13.8,14.27
1,16.9,25.16
1,18.2,35.86
1,20.9,38.79
1,15.7,15.69
1,14.1,18.26
1,14.2,11.85
1,18.2,31.86
1,15.6,23.49
1,17.8,29.74
1,13.5,15.30
1,18.6,33.79
1,16.2,22.86
1,15.4,17.44
1,16.6,23.09
1,17.4,28.45
1,14.8,14.82
1,17.2,25.14
1,17.0,23.90
1,17.1,27.08
1,16.7,24.59
1,13.6,13.04
1,19.9,34.38
1,14.6,16.86
1,12.0,8.05
1,13.2,12.23
2,13.2,10.17
2,18.7,31.65
2,14.1,11.96
2,12.2,5.53
2,12.4,8.63
2,13.0,13.74
2,19.8,38.34
2,18.4,27.84
2,17.1,18.50
2,16.0,23.69
2,18.8,34.22
2,16.6,22.81
2,16.0,19.23
2,18.7,31.42
2,23.6,51.58
2,16.1,25.88
2,15.3,20.22
2,16.0,22.83
2,14.9,14.10
2,16.0,22.90
2,17.5,28.56
2,18.5,36.70
2,18.1,29.43
2,17.8,27.36
2,12.0,6.29
2,18.3,32.51
2,16.5,20.55
2,18.3,28.93
2,14.5,9.92
2,19.4,38.15